Bug_ID,File_Name
CASSANDRA-20116,Author: Marcus Eriksson <marcuse@apache.org>
CASSANDRA-20116,Date:   Wed Nov 27 08:47:42 2024 +0100
CASSANDRA-20116,    Avoid prepared statement invalidation race when committing schema changes
CASSANDRA-20116,    
CASSANDRA-20116,    Patch by marcuse; reviewed by Sam Tunnicliffe for CASSANDRA-20116
CASSANDRA-20116,CHANGES.txt
CASSANDRA-20116,src/java/org/apache/cassandra/schema/DistributedSchema.java
CASSANDRA-20116,src/java/org/apache/cassandra/tcm/listeners/SchemaListener.java
CASSANDRA-20116,test/distributed/org/apache/cassandra/distributed/test/PreparedStatementInvalidationRaceTest.java
CASSANDRA-19794,Author: Alex Petrov <oleksandr.petrov@gmail.com>
CASSANDRA-19794,Date:   Thu Jul 25 14:47:13 2024 +0200
CASSANDRA-19794,    NPE on Directory in ShortPaxosSimulationTest
CASSANDRA-19794,    
CASSANDRA-19794,"    Patch by Alex Petrov, reviewed by Caleb Rackliffe and Marcus Eriksson for CASSANDRA-19794"
CASSANDRA-19794,src/java/org/apache/cassandra/locator/CMSPlacementStrategy.java
CASSANDRA-19794,src/java/org/apache/cassandra/tcm/transformations/cms/PrepareCMSReconfiguration.java
CASSANDRA-19794,test/simulator/main/org/apache/cassandra/simulator/cluster/OnClusterLeave.java
CASSANDRA-19794,test/simulator/main/org/apache/cassandra/simulator/cluster/OnClusterReplace.java
CASSANDRA-19785,Author: Benedict Elliott Smith <benedict@apache.org>
CASSANDRA-19785,Date:   Fri Aug 16 07:54:38 2024 +0100
CASSANDRA-19785,    Fix BTree.FastBuilder.reset() and test
CASSANDRA-19785,    
CASSANDRA-19785,    Patch by benedict; reviewed by blambov for CASSANDRA-19785
CASSANDRA-19785,CHANGES.txt
CASSANDRA-19785,src/java/org/apache/cassandra/utils/btree/BTree.java
CASSANDRA-19785,test/burn/org/apache/cassandra/utils/LongBTreeTest.java
CASSANDRA-19783,Author: Doug Rohrer <jeetkundoug@apache.org>
CASSANDRA-19783,Date:   Fri Jun 28 16:56:03 2024 -0400
CASSANDRA-19783,    CASSANDRA-19783 - InstanceClassLoader leak detection
CASSANDRA-19783,    
CASSANDRA-19783,    This commit (along with the related in-jvm-dtest API change) adds the ability for ResourceLeakTest
CASSANDRA-19783,    to actually detect InstanceClassLoader leaks in 3 loops. In order to find these in CI:
CASSANDRA-19783,    - Pull in the in-jvm dtest API changes in 0.17.0
CASSANDRA-19783,"    - Enable the looperEverythingTest to run (but not the others, which remain ignored)"
CASSANDRA-19783,    
CASSANDRA-19783,"    In addition, this commit updates netty to 4.1.113 as the version"
CASSANDRA-19783,    of netty previously used (4.1.96) caused a classloader leak (fixed in
CASSANDRA-19783,    Netty 4.1.98)
CASSANDRA-19783,    
CASSANDRA-19783,    Patch by Doug Rohrer and Sam Tunnicliffe (in-jvm-dtest fix); reviewed by Mick Semb Wever for CASSANDRA-19783
CASSANDRA-19783,    and CASSANDRA-19239
CASSANDRA-19783,.build/parent-pom-template.xml
CASSANDRA-19783,CHANGES.txt
CASSANDRA-19783,test/distributed/org/apache/cassandra/distributed/impl/AbstractCluster.java
CASSANDRA-19783,test/distributed/org/apache/cassandra/distributed/test/NativeProtocolTest.java
CASSANDRA-19783,test/distributed/org/apache/cassandra/distributed/test/ResourceLeakTest.java
CASSANDRA-19752,Author: Mick Semb Wever <mck@apache.org>
